query,filter1,filter2,filter3,logic1,logic2,result,
change management+AND+soft skills+AND+industry 4.0,TITLE,ABS,KEY,AND,AND,0.0,
change management+AND+soft skills+AND+industry 4.0,TITLE,ABS,KEY,AND,OR,0.0,
change management+AND+soft skills+AND+industry 4.0,TITLE,ABS,KEY,OR,AND,0.0,
change management+AND+soft skills+AND+industry 4.0,TITLE,ABS,KEY,OR,OR,2.0,
change management+AND+soft skills+AND+iot,TITLE,ABS,KEY,AND,AND,0.0,
change management+AND+soft skills+AND+iot,TITLE,ABS,KEY,AND,OR,0.0,
change management+AND+soft skills+AND+iot,TITLE,ABS,KEY,OR,AND,0.0,
change management+AND+soft skills+AND+iot,TITLE,ABS,KEY,OR,OR,1.0,
change management+AND+soft skills+AND+smart factory,TITLE,ABS,KEY,AND,AND,0.0,
change management+AND+soft skills+AND+smart factory,TITLE,ABS,KEY,AND,OR,0.0,
change management+AND+soft skills+AND+smart factory,TITLE,ABS,KEY,OR,AND,0.0,
change management+AND+soft skills+AND+smart factory,TITLE,ABS,KEY,OR,OR,1.0,
change management+AND+soft skills+AND+internet of things,TITLE,ABS,KEY,AND,AND,0.0,
change management+AND+soft skills+AND+internet of things,TITLE,ABS,KEY,AND,OR,0.0,
change management+AND+soft skills+AND+internet of things,TITLE,ABS,KEY,OR,AND,0.0,
change management+AND+soft skills+AND+internet of things,TITLE,ABS,KEY,OR,OR,1.0,
change management+AND+soft skills+AND+cyber phycal system,TITLE,ABS,KEY,AND,AND,0.0,
change management+AND+soft skills+AND+cyber phycal system,TITLE,ABS,KEY,AND,OR,0.0,
change management+AND+soft skills+AND+cyber phycal system,TITLE,ABS,KEY,OR,AND,0.0,
change management+AND+soft skills+AND+cyber phycal system,TITLE,ABS,KEY,OR,OR,0.0,
change management+AND+soft skills+AND+wireless sensor network,TITLE,ABS,KEY,AND,AND,0.0,
change management+AND+soft skills+AND+wireless sensor network,TITLE,ABS,KEY,AND,OR,0.0,
change management+AND+soft skills+AND+wireless sensor network,TITLE,ABS,KEY,OR,AND,0.0,
change management+AND+soft skills+AND+wireless sensor network,TITLE,ABS,KEY,OR,OR,0.0,
change management+AND+industry 4.0,TITLE,ABS,KEY,AND,AND,0.0,
change management+AND+industry 4.0,TITLE,ABS,KEY,AND,OR,2.0,
change management+AND+industry 4.0,TITLE,ABS,KEY,OR,AND,13.0,
change management+AND+industry 4.0,TITLE,ABS,KEY,OR,OR,365.0,
change management+AND+iot,TITLE,ABS,KEY,AND,AND,2.0,
change management+AND+iot,TITLE,ABS,KEY,AND,OR,2.0,
change management+AND+iot,TITLE,ABS,KEY,OR,AND,40.0,
change management+AND+iotTITLE,ABS,KEY,OR,OR,,0.0,
change management+AND+smart factory,TITLE,ABS,KEY,AND,AND,0.0,
change management+AND+smart factory,TITLE,ABS,KEY,AND,OR,0.0,
change management+AND+smart factory,TITLE,ABS,KEY,OR,AND,1.0,
change management+AND+smart factory,TITLE,ABS,KEY,OR,OR,72.0,
change management+AND+cyber phycal system,TITLE,ABS,KEY,AND,AND,0.0,
change management+AND+cyber phycal system,TITLE,ABS,KEY,AND,OR,0.0,
change management+AND+cyber phycal system,TITLE,ABS,KEY,OR,AND,0.0,
change management+AND+cyber phycal system,TITLE,ABS,KEY,OR,OR,0.0,
change management+AND+wireless sensor network,TITLE,ABS,KEY,AND,AND,0.0,
change management+AND+wireless sensor network,TITLE,ABS,KEY,AND,OR,0.0,
change management+AND+wireless sensor network,TITLE,ABS,KEY,OR,AND,41.0,
change management+AND+wireless sensor network,TITLE,ABS,KEY,OR,OR,514.0,
