query,filter1,filter2,filter3,logic1,logic2,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
change management+AND+soft skills+AND+industry 4.0,TITLE,ABS,KEY,AND,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+soft skills+AND+industry 4.0,TITLE,ABS,KEY,AND,OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+soft skills+AND+industry 4.0,TITLE,ABS,KEY,OR,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+soft skills+AND+industry 4.0,TITLE,ABS,KEY,OR,OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
change management+AND+soft skills+AND+iot,TITLE,ABS,KEY,AND,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+soft skills+AND+iot,TITLE,ABS,KEY,AND,OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+soft skills+AND+iot,TITLE,ABS,KEY,OR,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+soft skills+AND+iot,TITLE,ABS,KEY,OR,OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
change management+AND+soft skills+AND+smart factory,TITLE,ABS,KEY,AND,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+soft skills+AND+smart factory,TITLE,ABS,KEY,AND,OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+soft skills+AND+smart factory,TITLE,ABS,KEY,OR,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+soft skills+AND+smart factory,TITLE,ABS,KEY,OR,OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
change management+AND+soft skills+AND+internet of things,TITLE,ABS,KEY,AND,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+soft skills+AND+internet of things,TITLE,ABS,KEY,AND,OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+soft skills+AND+internet of things,TITLE,ABS,KEY,OR,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+soft skills+AND+internet of things,TITLE,ABS,KEY,OR,OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
change management+AND+soft skills+AND+cyber phycal system,TITLE,ABS,KEY,AND,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+soft skills+AND+cyber phycal system,TITLE,ABS,KEY,AND,OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+soft skills+AND+cyber phycal system,TITLE,ABS,KEY,OR,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+soft skills+AND+cyber phycal system,TITLE,ABS,KEY,OR,OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+soft skills+AND+wireless sensor network,TITLE,ABS,KEY,AND,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+soft skills+AND+wireless sensor network,TITLE,ABS,KEY,AND,OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+soft skills+AND+wireless sensor network,TITLE,ABS,KEY,OR,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+soft skills+AND+wireless sensor network,TITLE,ABS,KEY,OR,OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+industry 4.0,TITLE,ABS,KEY,AND,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change management+AND+industry 4.0,TITLE,ABS,KEY,AND,OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
